Date,Product,Units_Produced,Raw_Material_Cost,Labour_Cost,Maintenance_Cost,Energy_Cost,Total_Production_Cost
2024-11-17,Product A,200,33927,10461,5699,3449,53536
2023-01-22,Product A,131,25555,12863,7832,2058,48308
2023-04-27,Product A,87,22901,7312,5062,2687,37962
2023-10-16,Product C,110,21861,9311,3900,5345,40417
2024-03-05,Product C,108,27650,7990,3112,3752,42504
2024-05-30,Product A,154,18564,8480,2912,1582,31538
2023-04-27,Product C,150,23985,9995,4337,2570,40887
2024-05-13,Product A,87,32640,11372,5581,3096,52689
2023-07-08,Product B,111,33030,9640,4387,5324,52381
2024-05-27,Product C,183,29392,14157,3542,5909,53000
2023-09-28,Product B,190,21259,6407,2075,3281,33022
2023-10-11,Product A,177,23023,10850,2409,4318,40600
2023-03-12,Product B,133,34057,13340,4934,1663,53994
2024-06-01,Product A,102,15740,13825,5089,1936,36590
2024-01-02,Product A,148,20790,6474,3035,2124,32423
2024-06-05,Product B,196,28936,6684,7339,5233,48192
2023-04-25,Product C,81,30127,14535,6763,3586,55011
2024-11-19,Product A,82,33239,9336,4609,1737,48921
2024-01-06,Product B,150,15785,10989,7167,5113,39054
2024-09-23,Product A,113,29983,11181,7710,4426,53300
2023-11-07,Product A,107,19800,8070,2409,3968,34247
2024-08-06,Product A,112,21910,13168,5428,4963,45469
2023-10-06,Product C,113,30188,8854,3647,2159,44848
2024-09-09,Product A,192,27361,7514,7347,5086,47308
2024-07-09,Product A,137,26167,8294,2931,2074,39466
2023-02-03,Product B,85,21239,9219,6127,5720,42305
2023-08-17,Product B,187,23496,14579,6101,3488,47664
2023-12-13,Product C,170,20856,7148,2915,5176,36095
2023-08-05,Product B,141,25624,11198,5902,4457,47181
2023-02-08,Product B,134,21846,14678,5836,5259,47619
2024-04-30,Product A,185,16246,13950,6985,2850,40031
2023-02-12,Product B,88,33154,11644,3357,4165,52320
2023-07-20,Product B,167,17475,14685,2012,2519,36691
2024-12-04,Product C,175,20689,13383,4143,4121,42336
2023-05-09,Product B,161,17109,6896,4094,2211,30310
2023-11-09,Product C,191,24108,9316,6696,5035,45155
2023-10-04,Product B,198,33813,9212,2003,5871,50899
2024-07-28,Product C,92,18002,12075,7092,5856,43025
2023-12-07,Product C,152,32767,7495,4935,3832,49029
2023-06-13,Product B,127,22596,12213,6722,4912,46443
2023-05-11,Product C,171,28895,12283,5592,4235,51005
2024-05-12,Product B,89,22786,8184,6812,3462,41244
2023-08-20,Product A,101,22647,8176,6058,5404,42285
2024-03-06,Product B,167,20217,7499,2340,5592,35648
2024-12-19,Product A,151,33087,9202,4845,5352,52486
2023-06-05,Product B,100,33685,10786,3633,3632,51736
2023-05-04,Product A,95,28842,12970,7525,5417,54754
2024-07-02,Product C,183,33630,10885,6985,1782,53282
2023-04-24,Product B,131,33069,11905,7345,5118,57437
2024-04-02,Product B,186,31471,12041,3949,3260,50721
2024-10-14,Product A,108,30884,13454,2604,5976,52918
2023-10-30,Product A,148,27815,14353,6144,4603,52915
2024-09-14,Product A,169,25641,8384,3100,3503,40628
2023-07-23,Product C,121,32702,13078,2534,2118,50432
2024-07-17,Product C,179,33292,7655,3956,4284,49187
2023-02-17,Product B,128,19672,12701,3214,4198,39785
2024-04-30,Product B,94,15290,14522,5285,2028,37125
2023-11-26,Product A,195,32228,11877,7818,4644,56567
2023-09-18,Product C,138,16153,13211,7973,4650,41987
2024-12-14,Product C,135,33607,6968,2686,1750,45011
2023-08-11,Product A,92,25665,8214,6547,3753,44179
2024-11-09,Product B,195,17971,13137,4985,4044,40137
2024-06-15,Product A,187,32073,10934,6183,5030,54220
2024-06-10,Product A,149,29258,6693,2873,5696,44520
2024-01-26,Product C,176,33719,9588,4547,5875,53729
2024-05-01,Product B,153,34516,11968,2006,4909,53399
2023-11-18,Product C,115,28229,14848,2250,4953,50280
2024-11-22,Product A,200,27819,6529,5915,3736,43999
2023-08-05,Product C,100,32383,14448,2589,2895,52315
2023-08-14,Product A,191,21947,10264,6893,3920,43024
2024-08-21,Product C,118,27124,12075,3961,5304,48464
2024-07-04,Product A,130,25788,6653,7712,4776,44929
2023-02-06,Product B,178,27917,11123,4563,5101,48704
2023-06-12,Product B,181,20880,10789,4780,2884,39333
2024-01-18,Product C,165,34057,8823,3075,1586,47541
2023-11-22,Product C,146,29823,13120,2953,5697,51593
2023-07-01,Product C,112,18916,12320,5591,5601,42428
2024-04-05,Product B,165,20718,13801,7684,3417,45620
2023-07-20,Product A,177,15086,9802,4235,3877,33000
2023-07-18,Product B,141,33708,12214,3286,2700,51908
2023-11-25,Product B,121,24332,11331,7150,5741,48554
2023-05-02,Product C,125,16388,14479,5437,3556,39860
2024-02-05,Product A,197,19452,6000,3826,5543,34821
2023-08-01,Product A,149,22465,12956,5310,3370,44101
2023-09-08,Product A,164,25045,12586,4971,2452,45054
2023-02-16,Product A,90,23259,7891,4618,2932,38700
2023-01-04,Product A,187,34304,8338,6668,3827,53137
2023-12-17,Product A,199,18292,12142,5273,3513,39220
2023-02-13,Product B,90,15355,7876,2408,5545,31184
2023-10-10,Product C,150,34173,12964,4815,4094,56046
2023-01-23,Product B,181,29323,13917,7913,5100,56253
2024-09-29,Product A,120,34208,11959,6298,4246,56711
2023-02-21,Product A,140,15019,14936,5762,2173,37890
2023-08-08,Product B,196,23043,13435,2079,1847,40404
2023-09-06,Product B,158,33381,9710,3567,2604,49262
2023-11-07,Product C,140,32719,13023,3167,5388,54297
2023-07-15,Product B,167,29797,7611,7226,5024,49658
2024-11-14,Product B,135,15632,7065,2229,3814,28740
2024-09-26,Product C,154,27185,13172,7966,1596,49919
2024-06-23,Product A,180,22837,6449,3695,5173,38154
2024-12-10,Product C,80,22875,8060,5317,3430,39682
2024-07-03,Product A,179,32109,13985,5377,2340,53811
2024-02-17,Product A,194,22157,12489,5333,4260,44239
2023-09-10,Product A,189,19232,9359,3059,4995,36645
2023-12-19,Product B,118,22478,10360,6172,5845,44855
2023-07-30,Product C,114,20236,8414,3120,5313,37083
2023-05-03,Product C,137,34197,8522,2683,1969,47371
2023-11-17,Product C,181,16586,13734,6100,4079,40499
2023-03-09,Product A,161,25683,6533,7546,1985,41747
2023-07-22,Product C,134,23118,13994,2821,3612,43545
2023-11-04,Product C,155,27570,11680,5408,5054,49712
2024-09-15,Product C,178,24896,7078,7092,3450,42516
2023-02-10,Product A,121,22538,10418,7282,1508,41746
2024-06-06,Product A,103,23412,14096,4450,2372,44330
2024-12-20,Product A,147,26593,8701,4122,5234,44650
2024-07-24,Product C,192,18885,8201,4222,4125,35433
2024-06-29,Product B,200,25686,11782,4289,2222,43979
2023-12-08,Product C,165,28029,11176,7792,4157,51154
2024-12-04,Product B,180,30803,7452,2934,4019,45208
2024-05-19,Product B,126,34673,14615,2228,4047,55563
2023-09-11,Product B,128,17235,6324,5821,4965,34345
2024-09-03,Product C,110,21375,6003,2233,2314,31925
2023-10-08,Product C,93,34480,8259,2497,5643,50879
2023-08-21,Product A,122,15623,8284,5525,5911,35343
2023-01-14,Product C,168,29781,12020,5949,5096,52846
2024-01-07,Product B,139,30624,10998,7042,5799,54463
2023-12-24,Product C,111,34820,10663,2481,4527,52491
2024-04-30,Product A,132,22657,14294,6939,1987,45877
2023-12-27,Product A,191,19148,10122,3801,4317,37388
2023-05-03,Product A,139,24684,13913,3323,2240,44160
2023-03-09,Product A,143,33888,6060,3931,3493,47372
2023-09-16,Product A,139,33279,13023,2345,3629,52276
2024-01-12,Product C,138,29903,8562,7247,3957,49669
2024-08-24,Product C,194,17845,13292,3388,3334,37859
2024-09-19,Product C,105,23471,14291,7763,4042,49567
2023-05-01,Product A,143,20656,13120,5727,1761,41264
2023-03-29,Product C,198,32478,12862,5173,1993,52506
2023-10-30,Product B,154,31329,13162,3671,3240,51402
2024-01-06,Product C,101,27646,8005,2921,5177,43749
2024-02-17,Product B,115,34276,14964,7370,3901,60511
2024-12-14,Product C,152,27674,13963,7644,5714,54995
2024-01-14,Product C,142,29464,12591,7836,4897,54788
2024-07-24,Product A,93,16286,13239,5211,2039,36775
2023-08-19,Product A,104,25984,13117,3486,3442,46029
2024-10-20,Product C,131,34136,11744,3721,5211,54812
2023-12-01,Product C,93,18174,13532,4706,3520,39932
2023-12-19,Product A,145,23059,12094,6904,5578,47635
2024-12-04,Product A,165,27070,12401,4549,3040,47060
2023-10-08,Product A,102,30532,14844,6385,3515,55276
2023-11-04,Product B,110,18941,12117,7906,5170,44134
2023-04-17,Product B,136,16654,7011,6840,3357,33862
2023-09-18,Product B,140,24912,10492,2899,3395,41698
2023-01-05,Product C,121,17461,6830,3328,2279,29898
2024-07-16,Product C,164,23779,7081,7027,4964,42851
2023-08-03,Product A,94,28703,8725,4140,3913,45481
2024-04-18,Product A,117,18662,13139,2778,2977,37556
2024-11-01,Product A,137,23482,13998,3089,5636,46205
2023-10-20,Product A,200,24989,13149,7467,3419,49024
2024-07-20,Product C,179,30629,6841,7047,2785,47302
2023-09-04,Product C,192,15891,8390,6363,4754,35398
2024-03-10,Product C,84,25602,9597,2523,5042,42764
2024-10-03,Product A,124,31252,11247,6661,2972,52132
2024-10-23,Product B,175,28790,10853,6819,2556,49018
2024-09-01,Product C,93,30717,12491,4716,2238,50162
2023-08-10,Product A,184,17123,8622,6438,3846,36029
2024-07-11,Product A,99,18834,11517,6135,1878,38364
2024-03-14,Product B,89,17234,6624,2129,2482,28469
2023-02-14,Product B,181,17592,14003,6131,5623,43349
2023-12-09,Product A,127,27381,13221,3922,5835,50359
2023-09-01,Product A,112,31276,14330,2694,5163,53463
2023-03-18,Product B,125,23309,14735,4337,2721,45102
2024-12-20,Product A,184,18846,11747,2883,3891,37367
2024-03-04,Product B,97,31441,13973,4356,2404,52174
2023-02-28,Product B,95,33860,10382,3441,2136,49819
2023-10-19,Product A,145,31878,12299,4855,1722,50754
2024-12-15,Product A,111,24938,14155,2797,2844,44734
2023-05-28,Product B,83,16496,10021,7624,5739,39880
2023-07-14,Product A,147,30481,7966,2949,1715,43111
2023-08-12,Product B,104,15493,14881,6269,5226,41869
2024-06-18,Product B,118,33109,6310,2043,1568,43030
2024-05-15,Product C,94,27874,14581,7533,5475,55463
2023-01-09,Product C,136,20292,13717,7565,3292,44866
2024-08-09,Product A,90,26614,14581,3559,3170,47924
2024-05-05,Product A,142,15398,8589,5356,5113,34456
2024-12-13,Product B,186,25234,14736,2475,2317,44762
2024-04-07,Product A,118,31029,9624,6680,1685,49018
2023-02-23,Product A,152,30186,6616,3543,2475,42820
2024-01-19,Product A,177,19579,6965,7207,2686,36437
2024-03-31,Product C,193,23567,10291,3983,5525,43366
2024-03-12,Product A,112,34356,12796,5866,1794,54812
2024-08-17,Product C,116,22408,6914,7194,2670,39186
2023-03-15,Product B,178,22083,10978,4834,5805,43700
2023-02-22,Product A,164,24068,7799,7894,3026,42787
2023-07-16,Product C,181,33876,12915,7811,5037,59639
2023-06-02,Product B,189,16144,8955,5898,4886,35883
2024-10-02,Product B,127,27667,11503,7359,3745,50274
2024-03-26,Product B,81,31132,10272,2200,3419,47023
2024-12-05,Product C,137,17041,9045,4079,1799,31964
2023-02-02,Product C,119,20385,7167,7419,4009,38980
2023-01-14,Product B,94,21393,11704,6172,2256,41525
2024-11-07,Product B,199,19837,10951,2777,5488,39053
2023-05-12,Product B,186,23681,7909,4405,3708,39703
2024-12-17,Product A,89,16713,7358,7164,2838,34073
2024-01-15,Product C,118,22272,9934,5668,5318,43192
2023-06-24,Product B,164,32906,9379,6936,5390,54611
2024-01-05,Product C,140,19744,11221,6410,2365,39740
2024-03-12,Product A,137,29618,9055,5816,4304,48793
2023-07-02,Product C,120,22572,6951,4618,5373,39514
2023-02-17,Product B,159,31612,8315,5865,3274,49066
2023-08-24,Product B,180,17977,9814,7693,5273,40757
2024-06-29,Product C,117,19178,8503,4454,3738,35873
2024-08-04,Product C,125,20762,6255,2053,3288,32358
2024-04-24,Product B,122,26990,8026,4996,4480,44492
2023-10-31,Product B,171,19058,12575,7083,4035,42751
2023-06-01,Product B,95,15839,13981,6632,2379,38831
2023-03-06,Product B,116,20334,7638,7818,2967,38757
2024-11-12,Product A,197,22086,9629,7985,4935,44635
2024-09-09,Product B,181,29948,9418,6385,4991,50742
2024-03-17,Product A,162,23055,8946,2562,1724,36287
2023-09-06,Product A,83,30318,6839,7263,5132,49552
2023-06-25,Product B,123,19532,9649,3610,1821,34612
2024-08-24,Product B,194,24477,12986,3953,5811,47227
2023-02-03,Product C,162,25601,10733,5511,4593,46438
2024-06-20,Product A,84,27435,14201,2157,3314,47107
2024-10-29,Product A,125,28365,7808,7254,3352,46779
2023-08-10,Product B,134,15710,8163,7815,4578,36266
2023-07-08,Product B,171,19185,6254,5207,5088,35734
2024-10-16,Product C,151,21412,7868,7076,5625,41981
2024-06-28,Product C,195,25044,12411,6090,4650,48195
2023-01-07,Product B,170,29901,10937,7921,5409,54168
2024-12-09,Product C,124,23582,9368,3343,2437,38730
2024-06-17,Product A,92,24443,9131,7257,4377,45208
2023-05-17,Product C,166,21853,13762,6903,5807,48325
2023-09-30,Product C,134,23444,12194,6735,4984,47357
2024-01-15,Product C,122,19585,9695,6661,1965,37906
2023-05-13,Product A,193,22457,8529,3862,3071,37919
2024-04-10,Product C,162,27404,12177,8000,5749,53330
2023-12-21,Product B,100,16652,7537,5838,1979,32006
2024-08-23,Product A,167,33807,7380,5644,2825,49656
2024-05-09,Product A,149,25577,11699,5725,4338,47339
2024-08-22,Product A,124,31941,13111,7209,1551,53812
2023-06-17,Product C,92,28075,13764,3162,3427,48428
2023-08-27,Product B,185,23660,12452,2748,5893,44753
2023-10-31,Product B,113,26111,11500,6334,3614,47559
2024-08-07,Product A,126,21109,11418,3292,3898,39717
2023-07-23,Product C,171,29389,7638,3098,4458,44583
2024-05-20,Product B,141,31048,12669,6119,5981,55817
2024-06-10,Product B,169,16711,7917,4487,5152,34267
2024-04-20,Product C,116,25473,12430,3028,4139,45070
2024-08-04,Product B,185,20117,13947,5347,3999,43410
2023-11-25,Product C,150,31962,6092,5538,2532,46124
2024-10-24,Product C,168,29046,10544,2250,3449,45289
2023-06-18,Product C,164,17309,11217,6117,1838,36481
2024-11-05,Product C,88,28270,9405,5105,1999,44779
2023-03-04,Product B,101,32281,13606,3564,2448,51899
2024-07-19,Product C,184,31000,14065,6759,4203,56027
2023-12-10,Product A,92,22871,13508,7203,3395,46977
2024-02-25,Product C,123,16279,12806,7427,5751,42263
2023-03-06,Product B,192,21165,12727,2192,2881,38965
2023-12-10,Product A,107,24616,11388,6459,5563,48026
2023-06-09,Product A,153,29500,12298,4350,3221,49369
2023-11-18,Product C,99,32783,14863,5971,5507,59124
2024-07-13,Product C,122,24181,14679,3848,2226,44934
2023-11-27,Product B,175,25172,8111,2625,3347,39255
2023-05-15,Product C,130,23045,13331,5331,5590,47297
2023-01-30,Product B,145,33516,9428,7750,3191,53885
2024-09-17,Product B,121,31060,11489,5076,5784,53409
2023-09-20,Product A,93,27023,9992,7214,4717,48946
2024-11-21,Product A,200,31411,11056,7089,3221,52777
2023-07-12,Product A,158,28445,14129,3836,4130,50540
2024-07-03,Product B,106,31798,11750,7245,3553,54346
2024-04-23,Product A,174,28357,7436,6367,2956,45116
2024-04-13,Product C,177,29570,10600,5349,4415,49934
2023-12-23,Product C,170,15159,9877,4246,5714,34996
2023-02-09,Product B,169,15857,11279,3652,5734,36522
2023-04-29,Product B,186,15604,9911,7600,2018,35133
2024-06-01,Product A,188,28161,11754,4899,1521,46335
2024-09-08,Product C,128,18511,6820,5093,1998,32422
2023-12-14,Product B,93,18835,13200,2001,4227,38263
2023-05-05,Product C,98,17510,10132,6563,4105,38310
2023-01-04,Product B,185,29763,13401,5870,2953,51987
2024-03-24,Product B,199,20900,11257,5628,5727,43512
2023-04-16,Product B,124,15597,9745,4432,1973,31747
2024-03-29,Product C,132,21708,10282,5310,4993,42293
2023-03-15,Product C,124,32634,12201,2640,4587,52062
2023-03-21,Product C,172,25205,13055,6105,1554,45919
2024-04-02,Product B,101,17754,7696,4990,3724,34164
2023-10-18,Product B,80,18642,13938,6359,1829,40768
2024-03-17,Product C,154,23144,10630,2974,3855,40603
2023-02-18,Product C,171,20840,9807,2351,2326,35324
2023-04-18,Product A,188,21414,11625,2755,2613,38407
2024-10-06,Product A,192,16468,7572,7529,3723,35292
2024-10-06,Product A,143,20014,11798,7294,3699,42805
2023-07-28,Product B,141,28232,7079,4817,3082,43210
2024-08-30,Product A,122,22816,12253,6610,5906,47585
2023-09-13,Product C,111,30679,12233,6708,1981,51601
2024-10-26,Product C,135,15641,9415,6240,3181,34477
2023-01-21,Product A,133,33418,12645,6742,3463,56268
2023-05-29,Product C,92,24192,10693,6951,3374,45210
2023-05-13,Product B,85,29381,13270,3431,1977,48059
2024-09-24,Product B,111,34267,13494,7038,4672,59471
2023-08-03,Product B,182,30541,8971,5770,5641,50923
2023-08-31,Product C,84,31694,14035,5719,4516,55964
2023-04-30,Product C,93,32803,8950,5413,4537,51703
2023-03-22,Product B,80,26391,6839,5334,3244,41808
2023-08-16,Product A,156,16194,10481,2078,1729,30482
2023-08-21,Product C,186,34054,12313,5844,3029,55240
2024-08-13,Product C,200,33993,12233,2967,2641,51834
2024-12-14,Product B,146,34297,7120,6540,1937,49894
2023-03-10,Product B,195,29095,8702,3389,1998,43184
2023-04-02,Product C,139,25545,13039,6169,2941,47694
2023-07-15,Product A,169,27519,8297,4961,2353,43130
2023-03-16,Product C,97,23858,12870,3652,1697,42077
2024-04-24,Product B,89,28592,13578,6605,5979,54754
2023-07-04,Product C,126,30165,8647,6805,3046,48663
2023-01-24,Product A,108,24310,13748,2556,5434,46048
2024-04-02,Product C,170,33540,11264,2975,4600,52379
2023-04-07,Product B,123,30049,12074,5058,5049,52230
2024-10-05,Product B,100,33598,14154,4030,2022,53804
2024-07-03,Product A,185,24618,7263,7119,3996,42996
2024-06-17,Product C,122,30448,11368,4467,3193,49476
2023-05-12,Product B,97,31820,9288,4847,5587,51542
2024-01-09,Product A,125,25233,13601,7508,3055,49397
2023-02-18,Product C,175,21016,14469,2214,5211,42910
2024-12-20,Product B,195,31312,12508,2102,3201,49123
2024-01-16,Product B,121,20103,6983,3126,5610,35822
2024-03-19,Product C,153,34879,9348,6086,5232,55545
2023-09-22,Product B,160,31997,14331,4168,1517,52013
2023-02-04,Product C,118,16360,9425,3825,3688,33298
2023-08-05,Product A,197,32200,7828,4740,5560,50328
2024-07-27,Product B,86,26940,10693,3121,5305,46059
2023-09-21,Product C,103,19925,7164,4777,2382,34248
2023-04-11,Product A,143,27094,7537,3615,2761,41007
2024-01-10,Product A,95,30014,8576,5428,3957,47975
2023-07-16,Product C,184,18500,9753,4233,2210,34696
2024-03-03,Product B,149,15960,6759,2861,3929,29509
2024-07-25,Product C,123,18297,14633,3868,5122,41920
2023-09-27,Product B,176,25504,6409,4215,2621,38749
2023-07-29,Product B,136,23329,7422,6423,3031,40205
2023-06-19,Product A,115,28880,12019,6364,1661,48924
2023-11-29,Product B,115,24947,8662,2664,5425,41698
2023-03-02,Product A,148,29665,9972,6368,3944,49949
2024-11-19,Product A,92,30781,7734,6852,2106,47473
2023-03-21,Product B,182,21274,6672,4824,1620,34390
2023-10-01,Product C,94,27748,10652,2055,2393,42848
2023-01-27,Product B,141,33000,14849,7360,2056,57265
2023-06-12,Product C,188,34374,10661,7275,1773,54083
2024-01-29,Product A,131,15786,8050,4922,2322,31080
2024-03-17,Product C,130,19887,11445,6701,2383,40416
2024-11-03,Product A,167,29525,13701,4206,5281,52713
2024-07-16,Product B,113,27219,11731,4679,4896,48525
2024-10-11,Product A,104,16183,14032,7492,5744,43451
2023-09-03,Product B,196,17335,13967,4343,5727,41372
2023-04-03,Product C,139,15350,6411,7794,2909,32464
2024-07-30,Product B,140,27557,12420,3652,4492,48121
2023-07-02,Product A,120,18922,14867,5373,2035,41197
2024-06-25,Product B,189,18064,8389,5754,3226,35433
2023-11-06,Product C,90,34889,13211,3492,5601,57193
2024-04-27,Product A,95,31939,10917,7596,4615,55067
2024-09-06,Product A,126,32050,11168,4051,5204,52473
2023-04-16,Product A,172,17210,14623,4880,4792,41505
2023-08-19,Product C,86,19288,9497,2857,5766,37408
2023-05-28,Product B,181,15745,7790,4483,4835,32853
2023-12-02,Product B,125,33074,11706,2973,4722,52475
2023-04-21,Product C,109,17208,11284,3787,5922,38201
2024-07-09,Product B,178,32453,13312,4207,4024,53996
2024-09-22,Product B,115,19789,6695,7207,3656,37347
2024-10-30,Product B,126,25666,6784,4028,5645,42123
2023-07-14,Product B,110,27050,11662,4436,4399,47547
2023-04-09,Product B,102,30393,11345,2915,5086,49739
2023-08-07,Product B,165,31991,14655,7757,2254,56657
2023-10-09,Product A,108,30039,12989,5201,2324,50553
2024-06-06,Product B,101,20383,11192,3727,1619,36921
2024-09-16,Product C,177,19138,6495,4762,2703,33098
2024-01-07,Product B,193,33045,13356,6893,4812,58106
2024-03-12,Product A,96,24619,8450,4969,5142,43180
2023-08-08,Product C,89,25416,6549,5474,5492,42931
2023-10-19,Product B,140,26699,7713,4672,5157,44241
2023-04-25,Product A,180,23490,8401,3105,5966,40962
2024-01-11,Product C,156,25641,7931,7056,4105,44733
2023-06-19,Product C,199,21614,7260,2427,3991,35292
2023-11-18,Product A,168,18352,9745,7423,2080,37600
2024-07-19,Product A,150,20056,7065,5618,2754,35493
2023-07-21,Product A,181,20979,12547,2032,3682,39240
2023-11-21,Product A,165,17003,8338,2834,1794,29969
2023-06-18,Product C,181,18953,10662,5675,4297,39587
2024-11-24,Product B,149,20535,8841,3167,1760,34303
2023-11-14,Product B,103,31615,12698,4906,5414,54633
2024-07-10,Product C,137,24455,8168,3014,3807,39444
2024-12-18,Product B,181,21980,12555,4988,3423,42946
2023-01-20,Product C,139,16527,12363,5942,2175,37007
2024-04-24,Product A,194,22791,9543,6641,4892,43867
2024-04-14,Product A,163,15728,7640,5617,4514,33499
2023-12-14,Product B,189,33818,8902,2138,3250,48108
2024-06-18,Product C,146,22850,8796,2475,5344,39465
2023-01-19,Product A,81,20969,13228,2428,2087,38712
2024-04-30,Product C,127,17975,6820,7731,2154,34680
2024-10-31,Product A,101,31800,12364,5609,5860,55633
2023-06-10,Product C,160,29898,10433,4202,3810,48343
2024-03-11,Product B,111,17248,13827,5364,3338,39777
2023-12-21,Product C,178,23914,13964,4961,1646,44485
2023-09-15,Product C,104,32452,9424,4682,3386,49944
2024-03-31,Product C,161,33052,7394,4282,2824,47552
2023-06-25,Product C,97,24235,7267,4921,4368,40791
2024-04-08,Product A,92,32382,13916,2219,3655,52172
2023-12-03,Product B,109,28021,7858,4406,2535,42820
2024-08-01,Product A,155,34948,13833,4668,4561,58010
2024-10-31,Product C,114,18856,14586,2560,2488,38490
2024-01-08,Product B,162,30854,9306,4471,3631,48262
2023-07-29,Product A,175,20905,7811,6442,4645,39803
2024-09-29,Product A,92,18907,11275,2664,5843,38689
2024-08-28,Product C,163,28755,6801,3896,4267,43719
2024-10-04,Product C,117,17783,10722,7284,3726,39515
2023-01-25,Product C,148,22530,11484,7730,3482,45226
2023-11-26,Product C,162,25436,7598,3766,1509,38309
2024-04-13,Product B,171,22855,10943,5039,5343,44180
2024-05-16,Product B,198,30271,11668,5481,1664,49084
2023-04-14,Product C,92,24117,13227,3171,5804,46319
2024-05-13,Product C,110,32651,10581,2488,5926,51646
2024-08-21,Product C,135,27029,8183,5268,1998,42478
2023-11-07,Product B,97,23044,13089,6949,2987,46069
2024-10-01,Product B,174,22649,12771,5811,4774,46005
2024-05-24,Product B,183,29603,7543,7052,4123,48321
2024-10-10,Product B,145,26429,11082,4489,5356,47356
2024-02-19,Product C,172,33579,12299,3171,4991,54040
2023-09-24,Product B,157,34134,14679,5099,5983,59895
2024-12-01,Product C,88,24904,13217,6034,3013,47168
2023-07-01,Product B,83,32412,6895,7473,5451,52231
2023-03-05,Product A,82,32487,8081,4874,3337,48779
2024-01-02,Product C,94,17185,6486,4840,4009,32520
2023-10-26,Product A,185,26086,10151,4892,2719,43848
2023-07-05,Product B,194,16362,9129,6009,5647,37147
2024-11-03,Product A,179,26629,7214,5272,5792,44907
2024-05-21,Product A,113,30178,8328,4219,4625,47350
2024-01-01,Product A,124,23709,12546,7037,2482,45774
2024-08-17,Product B,190,16814,12568,3262,5275,37919
2023-06-28,Product B,107,15892,11138,5497,3842,36369
2023-05-28,Product A,128,32055,8355,5809,4686,50905
2024-07-29,Product A,159,23995,11638,2610,4871,43114
2023-08-01,Product B,139,29790,8683,5987,3251,47711
2023-06-11,Product B,174,26976,11904,2056,2343,43279
2023-10-28,Product A,192,19401,9616,6644,5570,41231
2023-04-13,Product B,191,31802,6093,6811,4994,49700
2023-07-17,Product B,110,24120,8365,7270,4775,44530
2023-08-15,Product A,82,15859,9976,2373,1951,30159
2023-06-22,Product A,107,22822,10892,2085,2968,38767
2024-09-12,Product A,183,19212,13052,6745,1500,40509
2023-07-28,Product C,130,22617,9291,2652,4128,38688
2024-09-25,Product A,88,24045,12050,5948,4883,46926
2023-05-02,Product C,84,26405,6298,4619,2689,40011
2023-11-14,Product A,84,15578,7453,6103,3164,32298
2023-08-18,Product B,127,19690,6758,3171,4668,34287
2024-02-19,Product B,99,21339,9700,3847,1762,36648
2024-09-25,Product A,159,27709,12984,6225,1568,48486
2024-07-18,Product C,194,25780,11836,6533,2492,46641
2024-01-13,Product C,164,21022,11453,2986,5564,41025
2024-03-18,Product C,121,27165,9603,3718,5619,46105
